id,opened_ts,asset,series,market_ticker,event_ticker,title,sub_title,strike_type,floor,cap,side,action,close_time,spot_at_open,p_model,kalshi_prob,odds,edge_pct,kelly_pct,stake,count,live,order_id,status,settle_price,settled_ts,pnl,product
1,2026-08-19T17:05:01.551859+00:00,SOL,KXSOLE,KXSOLE-26AUG1917-B81,KXSOLE-26AUG1917,"SOL price on Aug 19, 2026?",$81 to 81.9999,between,81.0,81.9999,yes,buy,2026-08-19T21:00:00Z,81.425,0.641,0.376,2.659,70.3,9.0,2.83,7,0,,lost,83.71,2026-08-19T21:18:11.298754+00:00,-2.83,SOL-USD
2,2026-08-19T17:05:01.551859+00:00,SOL,KXSOLD,KXSOLD-26AUG1917-T81.9999,KXSOLD-26AUG1917,"SOL price on Aug 19, 2026?",$82 or above,greater,81.9999,,no,buy,2026-08-19T21:00:00Z,81.425,0.853,0.705,1.419,21.0,35.8,11.2,15,0,,lost,83.71,2026-08-19T21:18:11.298754+00:00,-11.2,SOL-USD
3,2026-08-19T17:05:01.551859+00:00,SOL,KXSOLD,KXSOLD-26AUG1917-T80.9999,KXSOLD-26AUG1917,"SOL price on Aug 19, 2026?",$81 or above,greater,80.9999,,yes,buy,2026-08-19T21:00:00Z,81.425,0.788,0.715,1.399,10.2,25.6,7.99,11,0,,won,83.71,2026-08-19T21:18:11.298754+00:00,3.19,SOL-USD
4,2026-08-19T17:05:01.551859+00:00,SOL,KXSOLE,KXSOLE-26AUG1917-B80,KXSOLE-26AUG1917,"SOL price on Aug 19, 2026?",$80 to 80.9999,between,80.0,80.9999,no,buy,2026-08-19T21:00:00Z,81.425,0.807,0.782,1.278,3.2,11.5,3.6,4,0,,won,83.71,2026-08-19T21:18:11.298754+00:00,1.0,SOL-USD
5,2026-08-19T17:19:26.049788+00:00,XRP,KXXRP,KXXRP-26AUG1917-B1.0499500,KXXRP-26AUG1917,"Ripple price at Aug 19, 2026 at 5pm EDT?",$1.04 to 1.0599,between,1.04,1.0599,yes,buy,2026-08-19T21:00:00Z,1.0556,0.713,0.597,1.675,19.4,22.2,6.95,11,0,,lost,1.0973,2026-08-19T21:18:11.298754+00:00,-6.95,XRP-USD
6,2026-08-19T17:19:26.049788+00:00,SOL,KXSOLD,KXSOLD-26AUG1914-T81.4999,KXSOLD-26AUG1914,"SOL price on Aug 19, 2026?",$81.5 or above,greater,81.4999,,no,buy,2026-08-19T18:00:00Z,81.205,0.895,0.821,1.218,9.0,41.3,12.92,15,0,,lost,81.59,2026-08-19T18:21:33.218084+00:00,-12.92,SOL-USD
7,2026-08-19T17:19:26.049788+00:00,XRP,KXXRP,KXXRP-26AUG1917-B1.0699500,KXXRP-26AUG1917,"Ripple price at Aug 19, 2026 at 5pm EDT?",$1.06 to 1.0799,between,1.06,1.0799,no,buy,2026-08-19T21:00:00Z,1.0556,0.755,0.695,1.438,8.6,19.6,6.13,8,0,,won,1.0973,2026-08-19T21:18:11.298754+00:00,2.68,XRP-USD
8,2026-08-19T17:19:26.049788+00:00,SOL,KXSOLD,KXSOLD-26AUG1914-T80.9999,KXSOLD-26AUG1914,"SOL price on Aug 19, 2026?",$81 or above,greater,80.9999,,yes,buy,2026-08-19T18:00:00Z,81.205,0.821,0.782,1.278,4.9,17.5,5.48,7,0,,won,81.59,2026-08-19T18:21:33.218084+00:00,1.52,SOL-USD
9,2026-08-19T21:18:11.298754+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T83.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$84 or above,greater,83.9999,,yes,buy,2026-08-20T21:00:00Z,85.99,0.891,0.792,1.263,12.4,47.4,13.29,16,0,,open,,,,SOL-USD
10,2026-08-19T21:18:11.298754+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T84.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$85 or above,greater,84.9999,,yes,buy,2026-08-21T21:00:00Z,85.99,0.675,0.607,1.648,11.3,17.4,4.88,8,0,,open,,,,SOL-USD
11,2026-08-19T21:18:11.298754+00:00,SOL,KXSOLD,KXSOLD-26AUG2017-T84.9999,KXSOLD-26AUG2017,"SOL price on Aug 20, 2026?",$85 or above,greater,84.9999,,yes,buy,2026-08-20T21:00:00Z,85.99,0.742,0.685,1.459,8.3,18.0,5.06,7,0,,open,,,,SOL-USD
12,2026-08-19T22:16:28.059186+00:00,SOL,KXSOLD,KXSOLD-26AUG2117-T82.9999,KXSOLD-26AUG2117,"SOL price on Aug 21, 2026?",$83 or above,greater,82.9999,,yes,buy,2026-08-21T21:00:00Z,85.91,0.891,0.821,1.218,8.5,39.0,10.95,13,0,,open,,,,SOL-USD
13,2026-08-19T23:15:47.906446+00:00,SOL,KXSOLD,KXSOLD-26AUG1920-T84.9999,KXSOLD-26AUG1920,"SOL price on Aug 19, 2026?",$85 or above,greater,84.9999,,yes,buy,2026-08-20T00:00:00Z,85.335,0.873,0.782,1.278,11.6,41.6,11.69,14,0,,won,85.39,2026-08-20T00:44:44.326727+00:00,3.25,SOL-USD
14,2026-08-20T02:12:37.415103+00:00,XRP,KXXRP,KXXRP-26AUG2017-B1.1099500,KXXRP-26AUG2017,"Ripple price at Aug 20, 2026 at 5pm EDT?",$1.1 to 1.1199,between,1.1,1.1199,yes,buy,2026-08-20T21:00:00Z,1.1115,0.395,0.356,2.811,11.1,6.1,1.75,4,0,,open,,,,XRP-USD
